Produkt	Preis	Gesamtwertung	Preis-Leistung	Telefon und Akku	Internet	Multimedia	Handling	App-Store	Getestet mit	Aktuelles Betriebssystem	Handbuch	App-Store-Anbindung	Prozessor	Prozessor-Kerne	Prozessor-Takt (MHz)	Arbeitsspeicher (MByte)	SAR-Wert (W/kg)	Akku Sprechzeit (Stunden)	Akku Online-Laufzeit (Stunden)	Akku Lade-Dauer (Stunden)	Akku: Kapazität (mAh)	Akku: Austauschbar	Gesamt-Wertung Akku	Gewicht (g)	Höhe x Breite (mm)	Dicke (mm)	Anmutung	WLAN	GSM-Frequenzbänder	EDGE	UMTS: Daten empfangen	UMTS: Daten versenden	LTE: Unterstützte Frequenzbänder	LTE: Cat-4	Videotelefon	Touchscreen	Touchscreen: Reaktionsfreudigkeit	Display: Typ	Display: Abmessungen	Display: Diagonale (Zoll)	Display: Auflösung	Display: Pixeldichte (ppi)	Display: Farbanzahl	Display: Reflektions-Kontrast	Display: Helligkeit bei Umgebungslicht (cd/m²)	Display: Schachbrett-Kontrast	Sprachaufnahme	Profile	Push-E-Mail	E-Mail per Exchange	Speicher (MByte)	Speicherkarten-Slot	USB-Version	USB-Buchse	USB: Zeit für Übertragung von 100 MByte (s)	SIM-Slot	Bluetooth	NFC	Kamera: Auflösung (Megapixel)	Front-Kamera: Auflösung	Kamera: Autofokus	Kamera: Blitztyp	Camcorder-Auflösung	TV-Ausgang	Musik-Player: Formate	Video-Player	UKW-Radio	Navi: GPS-Empänger	Navi: Software	Navi: Vollversion	Navi: Software-Typ	Navi: Landkarten	Navi: GPS-Fix	Benchmark: Browsermark 1.0	Benchmark: Browsermark 2.0	Getestet am
Samsung Galaxy S4 Active	359	92.5	70	93.9	96.3	89	90.2	95.8	Android 4.2.2 mit Samsung TouchWiz	Android 4.2.2	Zum Download	Google Play	Qualcomm Snapdragon 600	4	1.9	2048	0.26	10.5833333333333	5.73333333333333	3.11666666666667	2600	ja	83.5	153	140 x 72	10	gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	62 x 110	5	1080 x 1920	443	16.777.216 Farben	4.2:1	426	158:01:00	ja	ja	ja	ja	12144	für microSD-Karten	USB 2.0	Micro-USB-Buchse	8	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	12 Sekunden	-	2.073 Punkte	13.08.2013
Sony Xperia M2	175.9	92.4	96	95	95.3	84.3	92.9	95.8	Android 4.3 mit Sony UI	Android 4.4.4	-	Google Play	Qualcomm MSM8926 Snapdragon 400	4	1.2	1024	-	8.95	8.16666666666667	2.85	2300	-	85.1	148	140 x 72	9	sehr gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	60 x 107	4.8	540 x 960	228	16.777.216 Farben	5.3:1	454	188:01:00	ja	ja	ja	ja	4106	für microSD-Karten	USB 2.0	Micro-USB-Buchse	17	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	640 x 480	ja	LED-Blitz	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	14 Sekunden	-	-	12.08.2014
Samsung Galaxy S3	242	92.4	85	93	90.5	93.6	91.3	95.8	Android 4.0.4 mit Samsung TouchWiz	Android 4.3	Zum Download	Google Play	Samsung Exynos 4412	4	1.4	1024	0.34	7.38333333333333	6.16666666666667	2.5	2100	ja	78.9	133	136 x 70	9	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	60 x 106	4.8	720 x 1280	306	16.777.216 Farben	3.1:1	303	192:01:00	ja	ja	ja	ja	11622	für microSD-Karten	USB 2.0	Micro-USB-Buchse	12	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	1392 x 1392	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	8 Sekunden	161.965 Punkte	-	30.05.2012
HTC One Max	359	92.4	65	100	96.4	87.4	86.8	95.8	Android 4.3 mit HTC Sense 5.5	Android 4.4.2	Zum Download	Google Play	Qualcomm APQ8064 Snapdragon 600	4	1.7	2048	1.29	13.3333333333333	8.83333333333333	3.51666666666667	3300	-	93.3	219	165 x 83	11	gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	73 x 130	5.9	1080 x 1920	376	16.777.216 Farben	3.8:1	329	165:01:00	ja	ja	ja	ja	10342	für microSD-Karten	USB 2.0	Micro-USB-Buchse	16	für Micro-SIM	4.0 (mit A2DP)	Open NFC	4.1	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	8 Sekunden	-	2.326 Punkte	06.11.2013
Nokia Lumia 930	409	92.3	60	95.2	96.1	90.5	92.1	83.6	Windows Phone 8.1	Windows Phone 8.1	-	Windows Phone Store	Qualcomm MSM8974 Snapdragon 800	4	2.2	2048	0.6	9.13333333333333	6.43333333333333	2.1	2420	-	83	168	136 x 71	11	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	62 x 110	5	1080 x 1920	443	16.777.216 Farben	3.9:1	322	204:01:00	ja	ja	ja	ja	25518	-	USB 2.0	Micro-USB-Buchse	9	für Nano-SIM	4.0 (mit A2DP)	Open NFC	18.7	1280 x 960	ja	Doppel LED-Blitz	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Onboard (Here Drive+)	Weltweit	9 Sekunden	-	846 Punkte	10.07.2014
Motorola Moto X	269	92.3	80	92.1	94.5	84.6	94.8	95.8	Android 4.4	Android 4.4.2	-	Google Play	Qualcomm Snapdragon S4 Pro	2	1.7	2048	0.59	6.91666666666667	7.75	2.75	2200	-	76.8	135	129 x 66	11	gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	58 x 104	4.7	720 x 1280	314	16.777.216 Farben	3.8:1	356	195:01:00	ja	ja	ja	ja	10649	-	USB 2.0	Micro-USB-Buchse	12	für Nano-SIM	4.0 (mit A2DP)	Open NFC	10.5	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	8 Sekunden	-	2.416 Punkte	11.02.2014
Samsung Galaxy Note 2 LTE	349	92	58	99.6	93.8	90.6	85.4	95.8	Android 4.1 mit Samsung TouchWiz	Android 4.3	Zum Download	Google Play	Samsung Exynos 4412	4	1.6	2048	0.18	9.43333333333333	8.78333333333333	2.7	3100	ja	93.1	181	151 x 81	10	gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	69 x 123	5.5	720 x 1280	265	16.777.216 Farben	3.5:1	276	146:01:00	ja	ja	ja	ja	10363	für microSD-Karten	USB 2.0	Micro-USB-Buchse	9	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	1392 x 1392	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	12 Sekunden	-	2.021 Punkte	06.12.2012
Apple iPhone 5 (64 GB)	539	91.7	47	89.7	91.8	86.5	93.6	100	iOS 6.0	iOS 7.1	Zum Download	Apple App Store	Apple A6	2	1.002	1024	0.9	5.56666666666667	5.78333333333333	1.58333333333333	1440	-	68.7	114	124 x 59	8	exzellent	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	1.800 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	50 x 88	4	640 x 1136	327	16.777.216 Farben	3.8:1	586	178:01:00	ja	ja	ja	ja	58675	-	USB 2.0	proprietär	11	für Nano-SIM	4.0 (mit A2DP)	-	8	1280 x 960	ja	LED-Blitz	1.080 x 1.920 Pixel	-	MP3. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Apple Karten)	Offboard	9 Sekunden	189.265 Punkte	-	25.09.2012
Sony Xperia SP	191.99	91.7	92	91.4	95	86.6	91.6	95.8	Android 4.1.2 mit Sony UI	Android 4.3	Zum Download	Google Play	Qualcomm S4 Pro MSM8960	2	1.7	1024	0.79	8.25	6.4	3.26666666666667	2370	-	73.2	156	131 x 68	10	gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	57 x 101	4.6	720 x 1280	323	16.777.216 Farben	4.0:1	438	142:01:00	ja	ja	ja	ja	5498	für microSD-Karten	USB 2.0	Micro-USB-Buchse	18	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	640 x 480	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	Mit RDS	ja	kostenlos verfügbar	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	-	1.999 Punkte	04.06.2013
Samsung Galaxy Express	264.9	91.7	83	96.7	93.2	87.1	88.9	95.8	Android 4.1 mit Samsung TouchWiz	Android 4.1.2	Zum Download	Google Play	Qualcomm Snapdragon MSM8930	2	1.2	1024	0.33	8.85	8.75	2.5	2000	ja	92.7	139	132 x 70	10	gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	59 x 98	4.5	480 x 800	207	16.777.216 Farben	4.0:1	284	192:01:00	ja	ja	ja	ja	4669	für microSD-Karten	USB 2.0	Micro-USB-Buchse	13	für Micro-SIM	4.0 (mit A2DP)	Open NFC	4.9	1280 x 1024	ja	LED-Blitz	720 x 1.280 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	8 Sekunden	-	1.673 Punkte	29.04.2013
Samsung Galaxy Note 2	350	91.5	68	98.1	90	93.1	85.6	95.8	Android 4.1 mit Samsung TouchWiz	Android 4.3	Zum Download	Google Play	Samsung Exynos 4412	4	1.6	2048	0.17	9.75	8.31666666666667	2.7	3100	ja	94.1	181	151 x 81	10	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	69 x 123	5.5	720 x 1280	265	16.777.216 Farben	3.4:1	266	173:01:00	ja	ja	ja	ja	10608	für microSD-Karten	USB 2.0	Micro-USB-Buchse	12	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	1392 x 1392	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	15 Sekunden	181.358 Punkte	-	16.10.2012
HTC Desire 816	319	91.4	71	92.7	95.9	87.3	89	95.8	Android 4.4.2 mit HTC Sense 6.0	Android 4.4.2	-	Google Play	Qualcomm MSM8226 Snapdragon 400	4	1.6	1536	0.26	7.18333333333333	8.58333333333333	3.31666666666667	2600	-	75.7	160	156 x 79	8	gut	802.11n/g/b	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	68 x 121	5.5	720 x 1280	269	16.777.216 Farben	5.0:1	420	167:01:00	ja	ja	ja	ja	4905	für microSD-Karten	USB 2.0	Micro-USB-Buchse	10	für Nano-SIM	4.0 (mit A2DP)	Open NFC	13.2	2560 x 1920	ja	LED-Blitz	1.080 x 1.920 Pixel	-	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	9 Sekunden	-	1.060 Punkte	17.06.2014
HTC One SV	169	91.4	81	94.2	91.9	84.3	92.5	95.8	Android 4.1.2 mit HTC Sense 4+	Android 4.2.2	Zum Download	Google Play	Qualcomm Snapdragon MSM8960	2	1.2	1024	0.54	6.65	6.93333333333333	2.61666666666667	1800	ja	78.4	126	128 x 67	10	gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	56 x 94	4.3	480 x 800	217	16.777.216 Farben	4.6:1	384	152:01:00	ja	ja	ja	ja	4945	für microSD-Karten	USB 2.0	Micro-USB-Buchse	14	für Micro-SIM	4.0 (mit A2DP)	Open NFC	5.1	1400 x 1050	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	14 Sekunden	-	1.486 Punkte	04.07.2013
Sony Xperia V	249	91.4	73	91.6	95.4	89	88.7	95.8	Android 4.0.4 Sony UI mit SmallApps	Android 4.3	Zum Download	Google Play	Qualcomm MSM8960 Snapdragon	2	1.5	1024	0.95	8	4.86666666666667	2.5	1750	ja	75.8	120	129 x 66	11	sehr gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	53 x 95	4.3	720 x 1280	343	16.777.216 Farben	5.4:1	495	141:01:00	ja	ja	ja	ja	5816	für microSD-Karten	USB 2.0	Micro-USB-Buchse	16	für Micro-SIM	4.0 (mit A2DP)	Open NFC	12.8	640 x 480	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	11 Sekunden	-	1.879 Punkte	21.01.2013
Samsung Galaxy S4 Zoom	259.63	91.3	74	92	89.7	91.3	90.5	95.8	Android 4.2.2 mit Samsung TouchWiz	Android 4.2.2	Zum Download	Google Play	Intel XMM6262	2	1.5	1536	0.14	7.11666666666667	5.53333333333333	2.85	2330	ja	72.7	209	125 x 64	27	gut	802.11n/g/b/a	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	53 x 95	4.3	540 x 960	258	16.777.216 Farben	3.0:1	336	169:01:00	ja	ja	ja	ja	4885	für microSD-Karten	USB 2.0	Micro-USB-Buchse	9	für Micro-SIM	4.0 (mit A2DP)	Open NFC	15.9	1392 x 1392	ja	Halogen-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	9 Sekunden	-	2.119 Punkte	03.09.2013
Oppo Find 5	350	91.3	69	88.7	90.5	89	93.7	95.8	Android 4.1.1 mit Oppo UI	Android 4.1.1	Zum Download	Google Play	Qualcomm APQ8064 Snapdragon	4	1.5	2048	0.18	7.28333333333333	4.73333333333333	2.68333333333333	2500	-	65	170	142 x 70	9	sehr gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	62 x 110	5	1080 x 1920	443	16.777.216 Farben	6.0:1	410	182:01:00	ja	ja	ja	ja	26572	-	USB 2.0	Micro-USB-Buchse	13	für Micro-SIM	4.0 (mit A2DP)	Open NFC	13.1	1280 x 960	ja	Doppel LED-Blitz	1.088 x 1.920 Pixel	-	MP3. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	-	1.880 Punkte	01.07.2013
Motorola Moto G	151	91.2	100	96.8	90	82.6	92.4	95.8	Android 4.3 mit Motorola UI	Android 4.4.2	Zum Download	Google Play	Qualcomm Snapdragon 400	4	1.2	1024	0.79	10.8666666666667	7.56666666666667	2.36666666666667	2070	-	91.6	143	129 x 66	11	gut	802.11n/g/b	Quad-Band	ja	21.1 MBit/s	5.8 MBit/s	-	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	56 x 99	4.5	720 x 1280	327	16.777.216 Farben	3.7:1	480	145:01:00	ja	ja	ja	ja	5652	-	USB 2.0	Micro-USB-Buchse	15	für Micro-SIM	4.0 (mit A2DP)	-	5	1280 x 960	ja	LED-Blitz	720 x 1.280 Pixel	-	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	9 Sekunden	-	2.493 Punkte	03.12.2013
Nokia Lumia 1520	419.9	91	58	99.1	96.7	100	78.2	83.6	Windows Phone 8.0	Windows Phone 8	Zum Download	Windows Phone Store	Qualcomm MSM8974 Snapdragon 800	4	2.2	2048	0.64	11.9666666666667	10.1833333333333	2.5	3400	-	96	211	160 x 85	11	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	74 x 132	6	1080 x 1920	370	16.777.216 Farben	4.8:1	401	151:01:00	ja	ja	ja	ja	29819	für microSD-Karten	USB 2.0	Micro-USB-Buchse	10	für Nano-SIM	4.0 (mit A2DP)	Open NFC	16.3	1280 x 960	ja	Doppel LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	Mit RDS	ja	kostenlos verfügbar	Vollversion	Onboard (Nokia Here Drive+)	Weltweit	9 Sekunden	-	-	28.11.2013
Apple iPhone 5C (32 GB)	459.26	90.9	52	86.5	95	85.3	91.9	100	iOS 7.0	iOS 7.1	Zum Download	Apple App Store	Apple A6	2	1.3	1024	0.96	6.58333333333333	6.38333333333333	2.36666666666667	1507	-	71.3	132	125 x 60	9	gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	-	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	50 x 89	4	640 x 1136	326	16.777.216 Farben	3.1:1	540	174:01:00	ja	ja	ja	ja	28569	-	USB 2.0	proprietär	14	für Nano-SIM	4.0 (mit A2DP)	-	8	1280 x 960	ja	LED-Blitz	1.080 x 1.920 Pixel	proprietärer HDMI	MP3. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Apple Karten)	Offboard	11 Sekunden	-	2.502 Punkte	12.09.2013
